"","시도","시군구","계약년도","이혼율","이동건","병원","스트레스","학원수","교통문화","문화시설","체육시설","재정자립도","지가변동률","토지거래현황","재정자주도","지역범죄안전등급","유아 천명당 보육시설수","혼인율","고령인구비율"
"90","서울특별시","마포구","2017","1.6",-1408,1.95,24.3,"1.64","82.47",3.73,399,41.6,"5.32","15763",59.7,4,12.19,"6.2","13.16"
"91","서울특별시","서대문구","2016","1.7",90,12.57,26.3,"1.12","81.75",4.14,383,30.1,"2.65","12605",58,3,11.69,"5.4","15.06"
"92","서울특별시","서대문구","2017","1.6",-906,12.43,26.5,"1.09","80.53",4.16,383,32.5,"3.45","13422",60.3,3,12.08,"5","15.63"
"93","서울특별시","서초구","2016","1.3",-788,7.32,31.1,"2.43","85.77",3.13,777,63.6,"3.10","15146",67.1,3,8.56,"6.1","11.38"
"94","서울특별시","서초구","2017","1.3",-2754,7.93,29.3,"2.47","86.59",3.85,777,68.5,"4.40","15963",71.6,3,9.53,"5.2","12.04"
"95","서울특별시","서초구","2018","1.4",-3335,7.93,29.3,"2.6","70.25",3.85,777,63.3,"6.55","15453",69,3,10.12,"5.2","12.60"
"96","서울특별시","성동구","2016","1.9",1152,5.89,29.8,"0.93","85.6",4.68,501,40,"2.92","12647",61,3,12.76,"6.6","13.08"
"97","서울특별시","성동구","2017","1.7",3325,6.97,30.9,"0.97","84.37",4.59,501,39.6,"5.22","12858",62.4,3,12.77,"7.1","13.50"
"98","서울특별시","성동구","2018","1.8",2765,6.97,30.9,"1.02","69.67",4.59,501,38.2,"7.38","10313",61.5,3,12.88,"6.6","13.83"
"99","서울특별시","성북구","2017","1.7",-4265,7.1,30.5,"1.03","86.56",4.28,531,26.6,"3.12","15062",55.8,2,15.62,"4.4","14.89"
"100","서울특별시","송파구","2016","1.6",-1100,9.64,29,"1.69","89.03",2.89,618,48.9,"3.20","26690",58.2,3,12.83,"6.3","10.78"
"101","서울특별시","송파구","2017","1.6",2647,9.9,25,"1.64","87.04",3.01,618,49.2,"4.60","33341",58.9,3,12.96,"6","11.50"
"102","서울특별시","송파구","2018","1.5",2410,9.9,25,"1.58","80.86",3.01,618,47.7,"5.94","25269",58.1,3,13.3,"5.6","12.18"
"103","서울특별시","양천구","2017","1.5",-4327,5.88,31.2,"2.23","90.68",1.91,694,31.6,"3.79","11958",56.7,3,16.66,"4.3","11.70"
"104","서울특별시","양천구","2018","1.6",-3990,5.88,31.2,"2.29","77.05",1.91,694,31,"5.08","12434",56.2,3,17.47,"4.2","12.48"
"105","서울특별시","영등포구","2016","1.9",-3356,15.6,31.8,"1.27","83.81",2.97,782,45.1,"2.38","15539",60.3,5,14.86,"7.1","13.81"
"106","서울특별시","영등포구","2017","1.7",113,15.21,29.7,"1.28","88.33",2.98,782,44.3,"4.02","17650",60.5,4,15.24,"7","14.46"
"107","서울특별시","영등포구","2018","1.8",2237,15.21,29.7,"1.27","79.71",2.98,782,42.8,"6.30","20701",59.6,4,15.87,"7.4","14.93"
"108","서울특별시","용산구","2016","2",-1481,4.36,30.1,"0.72","84.39",6.08,305,47.1,"3.13","7879",63.7,4,12.54,"6.2","15.44"
"109","서울특별시","용산구","2017","1.8",559,4.39,21.8,"0.76","79.42",6.98,305,48.7,"5.23","11070",66.3,4,13.85,"6.2","15.92"
"110","서울특별시","용산구","2018","1.8",667,4.39,21.8,"0.69","69.84",6.98,305,46.2,"8.60","11288",64.4,4,14.44,"6.4","16.25"
"111","서울특별시","은평구","2016","1.9",-4263,7.35,26.8,"0.95","84.47",2.44,551,23.7,"2.27","21452",48.4,2,14.22,"5.3","14.51"
"112","서울특별시","은평구","2017","1.9",-2427,6.81,22,"1.07","82.6",2.47,551,24,"3.32","21540",50.5,3,14.3,"4.8","15.28"
"113","서울특별시","은평구","2018","1.9",-1440,6.81,22,"1.08","71.77",2.47,551,23.9,"5.41","21482",48.2,2,14.78,"5","15.99"
"114","서울특별시","종로구","2016","1.8",-1312,21.57,26.6,"1.82","87.87",41.9,275,54.6,"2.20","5591",71.2,5,15.78,"5.1","16.34"
