LinkID,평균시간,거리,시/도,시/군,유출인구,정류장수,,LinkID,평균속도시간,거리,시/도,시/군,유입인구,,가평군,880
1011777,0.031642957,2.629,경기도,화성시,106864,2632,,1014745,0.013154308,0.402,서울특별시,구로구,159357,,,
1011778,0.001021662,0.081,경기도,화성시,106864,2632,,1014746,0.002983578,0.112,서울특별시,구로구,159357,,,
1011779,0.000963001,0.081,경기도,화성시,106864,2632,,1014747,0.001876427,0.112,서울특별시,구로구,159357,,,
1011780,0.034281017,2.653,경기도,화성시,106864,2632,,1014748,0.007591241,0.479,서울특별시,구로구,159357,,,
1011781,0.011388877,0.793,경기도,화성시,106864,2632,,1014755,0.005334024,0.192,서울특별시,구로구,159357,,,
1011782,0.035617306,2.309,경기도,화성시,106864,2632,,1014756,0.003242331,0.192,서울특별시,구로구,159357,,,
1011783,0.033574776,2.309,경기도,화성시,106864,2632,,1014757,0.00130884,0.03,서울특별시,구로구,159357,,,
1011784,0.004763577,0.392,경기도,화성시,106864,2632,,1014758,0.000741676,0.017,서울특별시,구로구,159357,,,
1011785,0.005545849,0.392,경기도,화성시,106864,2632,,1014759,0.004945572,0.135,서울특별시,구로구,159357,,,
1011786,0.012288319,0.802,경기도,화성시,106864,2632,,1014760,0.012476161,0.343,서울특별시,구로구,159357,,,
1011787,0.01261047,0.802,경기도,화성시,106864,2632,,1014761,0.009017273,0.343,서울특별시,구로구,159357,,,
1011788,0.006296641,0.4,경기도,화성시,106864,2632,,1014762,0.008437961,0.32,서울특별시,구로구,159357,,,
1011789,0.021926146,1.37,경기도,화성시,106864,2632,,1014763,0.022200114,0.32,서울특별시,구로구,159357,,,
1011790,0.023980568,1.37,경기도,화성시,106864,2632,,1014764,0.033282082,1.457,서울특별시,구로구,159357,,,
1011791,0.004729538,0.278,경기도,화성시,106864,2632,,1014765,0.029835546,1.457,서울특별시,구로구,159357,,,
1011792,0.005112265,0.278,경기도,화성시,106864,2632,,1014766,0.010682191,0.442,서울특별시,구로구,159357,,,
1011793,0.007051605,0.402,경기도,화성시,106864,2632,,1014767,0.015331184,0.483,서울특별시,구로구,159357,,,
1011794,0.023716677,0.638,경기도,시흥시,89081,960,,1014768,0.016048825,0.483,서울특별시,구로구,159357,,,
1011795,0.027488031,0.632,경기도,시흥시,89081,960,,1014769,0.012568285,0.883,서울특별시,구로구,159357,,,
1011796,0.024446404,0.503,경기도,안산시,125392,1153,,1014770,0.06058051,0.883,서울특별시,구로구,159357,,,
1011797,0.009338759,0.485,경기도,시흥시,89081,960,,1014788,0.001530172,0.035,서울특별시,구로구,159357,,,
1011798,0.011846264,0.533,경기도,시흥시,89081,960,,1014789,0.000111718,0.005,서울특별시,구로구,159357,,,
1011799,0.018422191,0.418,경기도,시흥시,89081,960,,1014791,0.029658117,1.864,서울특별시,구로구,159357,,,
1011800,0.017232494,0.589,경기도,시흥시,89081,960,,1014816,0.012316668,0.518,서울특별시,강서구,108882,,,
1011801,0.035869768,0.589,경기도,시흥시,89081,960,,1014817,0.013566729,0.518,서울특별시,강서구,108882,,,
