LinkID,유출인구,정류장수
1011808,89081,960
1011809,89081,960
1011810,89081,960
1011811,89081,960
1011812,89081,960
1011813,89081,960
1011814,89081,960
1011815,89081,960
1011816,89081,960
1011817,89081,960
1011818,89081,960
1011819,89081,960
1011820,89081,960
1011821,89081,960
1011823,89081,960
1011824,89081,960
1011826,89081,960
1011831,89081,960
1011833,89081,960
1011834,89081,960
1011835,89081,960
1011836,89081,960
1011837,89081,960
1011838,89081,960
1011839,89081,960
1011840,89081,960
1011841,89081,960
1011842,89081,960
1011843,89081,960
1011844,89081,960
1011845,89081,960
1011846,89081,960
1011847,89081,960
1011848,89081,960
1011849,89081,960
1011850,89081,960
1011851,89081,960
1011852,89081,960
1011853,89081,960
1011854,89081,960
1011855,89081,960
1011856,89081,960
1011857,89081,960
1011858,89081,960
1011859,89081,960
1011860,89081,960
1011861,89081,960
1011862,89081,960
1011863,89081,960
1011864,89081,960
1011865,89081,960
1011866,89081,960
1011867,89081,960
1011868,89081,960
1011869,89081,960
1011932,89081,960
1011933,89081,960
1011934,89081,960
1011935,89081,960
1011936,89081,960
1011937,89081,960
1011938,89081,960
1011939,89081,960
1011940,89081,960
1011941,89081,960
1011942,89081,960
1011943,89081,960
1011944,89081,960
1011945,89081,960
1011946,89081,960
1011947,89081,960
1011948,89081,960
1011949,89081,960
1011950,89081,960
1011951,89081,960
1011952,89081,960
1011953,89081,960
1011954,89081,960
1011955,89081,960
1011956,89081,960
1011957,89081,960
1011958,89081,960
1011959,89081,960
1011960,89081,960
1011961,89081,960
1011962,89081,960
1011963,89081,960
1011964,89081,960
1011965,89081,960
1011966,89081,960
1011967,89081,960
1011968,89081,960
1011969,89081,960
1011970,89081,960
1011971,89081,960
1011972,89081,960
1011973,89081,960
1011974,89081,960
1011975,89081,960
1011976,89081,960
1011977,89081,960
1011978,89081,960
1011979,89081,960
1011980,89081,960
1011981,89081,960
1011982,89081,960
1011983,89081,960
1011984,89081,960
1011985,89081,960
1011986,89081,960
1011987,89081,960
1011988,89081,960
1011989,89081,960
1011990,89081,960
1011991,89081,960
1011992,89081,960
1011993,89081,960
1011994,89081,960
1011995,89081,960
1011996,89081,960
1011997,89081,960
1011998,89081,960
1011999,89081,960
1012000,89081,960
1012001,89081,960
1012002,89081,960
1012009,89081,960
1012010,89081,960
1012011,89081,960
1012012,89081,960
1012013,89081,960
1012014,89081,960
1012020,89081,960
1012021,89081,960
1012022,89081,960
1012023,89081,960
1012024,89081,960
1012025,89081,960
1012026,89081,960
1012081,89081,960
1012082,89081,960
1012108,89081,960
1012109,89081,960
1012110,89081,960
1012111,89081,960
1012112,89081,960
1012113,89081,960
1012114,89081,960
1012115,89081,960
1012116,89081,960
1012117,89081,960
1012118,89081,960
1012119,89081,960
1012120,89081,960
1012121,89081,960
1012122,89081,960
1012123,89081,960
1012125,89081,960
1012126,89081,960
1012127,89081,960
1012128,89081,960
1012132,89081,960
1012133,89081,960
1012134,89081,960
1012135,89081,960
1012136,89081,960
1012137,89081,960
1012301,226983,1162
1012305,226983,1162
1012628,226983,1162
1012629,226983,1162
1012630,226983,1162
1012639,226983,1162
1012640,226983,1162
1012641,226983,1162
1012691,226983,1162
1012692,226983,1162
1012693,226983,1162
1012694,226983,1162
1012719,226983,1162
1012720,226983,1162
1012721,226983,1162
1012722,226983,1162
1012723,226983,1162
1012765,226983,1162
1012778,89081,960
1012929,76946,1086
1012961,226983,1162
1012963,226983,1162
1012964,226983,1162
1013009,226983,1162
1013010,226983,1162
1013014,226983,1162
1013015,226983,1162
1013016,226983,1162
1013017,226983,1162
1013023,226983,1162
1013087,226983,1162
1013122,76946,1086
1013171,76946,1086
1013172,76946,1086
1013173,76946,1086
1013174,76946,1086
1013175,76946,1086
1013176,76946,1086
1013177,76946,1086
1013178,76946,1086
1013179,76946,1086
1013180,76946,1086
1013190,76946,1086
1013191,76946,1086
1013192,76946,1086
1013193,76946,1086
1013194,76946,1086
1013195,76946,1086
1013200,76946,1086
1013201,76946,1086
1013205,76946,1086
1013206,76946,1086
1013207,76946,1086
1013212,76946,1086
1013213,76946,1086
1013214,76946,1086
1013215,76946,1086
1013216,76946,1086
1013217,76946,1086
1013218,76946,1086
1013219,76946,1086
1013220,76946,1086
1013221,76946,1086
1013222,76946,1086
1013223,76946,1086
1013224,76946,1086
1013225,76946,1086
1013226,76946,1086
1013227,76946,1086
1013228,76946,1086
1013229,76946,1086
1013230,76946,1086
1013231,76946,1086
1013232,76946,1086
1013233,76946,1086
1013234,76946,1086
1013235,76946,1086
1013236,76946,1086
1013237,76946,1086
1013238,76946,1086
1013239,76946,1086
1013240,76946,1086
1013255,76946,1086
1013256,76946,1086
1013257,76946,1086
1013258,76946,1086
1013259,76946,1086
1013260,76946,1086
1013261,76946,1086
1013262,76946,1086
1013263,76946,1086
1013264,76946,1086
1013265,76946,1086
1013268,76946,1086
1013282,76946,1086
1013283,76946,1086
1013285,76946,1086
1013286,76946,1086
1013287,76946,1086
1013288,76946,1086
1013289,76946,1086
1013290,76946,1086
1013291,76946,1086
1013292,76946,1086
1013293,76946,1086
1013294,76946,1086
1013295,76946,1086
1013296,76946,1086
1013297,76946,1086
1013298,76946,1086
1013299,76946,1086
1013300,76946,1086
1013301,76946,1086
1013302,76946,1086
1013303,76946,1086
1013304,76946,1086
1013305,76946,1086
1013306,76946,1086
1013307,76946,1086
1013308,76946,1086
1013309,76946,1086
1013310,76946,1086
1013311,76946,1086
1013312,76946,1086
1013313,76946,1086
1013314,76946,1086
1013315,76946,1086
1013316,76946,1086
1013317,76946,1086
1013318,76946,1086
1013319,76946,1086
1013325,76946,1086
1013326,76946,1086
1013327,76946,1086
1013328,76946,1086
1013329,76946,1086
1013330,76946,1086
1013331,76946,1086
1013332,76946,1086
1013333,76946,1086
1013334,76946,1086
1013335,76946,1086
1013345,76946,1086
1013346,76946,1086
1013347,76946,1086
1013348,76946,1086
1013349,76946,1086
1013350,76946,1086
1013351,76946,1086
1013352,76946,1086
1013353,76946,1086
1013354,76946,1086
1013355,76946,1086
1013356,76946,1086
1013357,76946,1086
1013358,76946,1086
1013359,76946,1086
1013360,76946,1086
1013361,76946,1086
1013362,76946,1086
1013363,76946,1086
1013364,76946,1086
1013365,76946,1086
1013366,76946,1086
1013367,76946,1086
1013371,76946,1086
1013372,76946,1086
1013373,76946,1086
1013374,76946,1086
1013375,76946,1086
1013376,76946,1086
1013377,76946,1086
1013378,76946,1086
1013379,76946,1086
1013380,76946,1086
1013381,76946,1086
1013382,76946,1086
1013383,76946,1086
1013384,76946,1086
1013385,76946,1086
1013386,76946,1086
1013387,76946,1086
1013388,76946,1086
1013389,76946,1086
1013390,76946,1086
1013391,76946,1086
1013392,76946,1086
1013393,76946,1086
1013394,76946,1086
1013395,76946,1086
1013396,76946,1086
1013397,76946,1086
1013398,76946,1086
1013399,76946,1086
1013400,76946,1086
1013401,76946,1086
1013402,76946,1086
1013403,76946,1086
1013404,76946,1086
1013405,76946,1086
1013406,76946,1086
1013407,76946,1086
1013408,76946,1086
1013409,76946,1086
1013410,76946,1086
1013411,76946,1086
1013412,76946,1086
1013413,76946,1086
1013414,76946,1086
1013415,76946,1086
