LinkID,통과시간,연장
1011762,0.0015814800060683708,0.064
1011763,0.0012859662027338526,0.066
1011764,0.00039188283196933823,0.02
1011765,0.0006964383733955555,0.028
1011766,0.0016309012562580071,0.066
1011767,0.00079264648041882,0.019
1011768,0.0009564322789756783,0.022
1011769,0.0007092100087957863,0.017
1011770,0.00013715899118926837,0.006999999999999999
1011771,0.023297763218649806,0.532
1011772,0.022535195889795252,0.532
1011773,0.1989585563885914,8.017999999999999
1011774,0.21894157479847925,8.017999999999999
1011775,0.04561801424384104,1.529
1011776,0.03207381884307367,1.529
1011777,0.03164295730706953,2.629
1011778,0.0010216623256504521,0.081
1011779,0.0009630005991411402,0.081
1011780,0.034281017367537456,2.653
1011781,0.011388876850567543,0.7929999999999999
1011782,0.03561730624035782,2.309
1011783,0.03357477573449144,2.309
1011784,0.0047635768008963105,0.392
1011785,0.005545848874436177,0.392
1011786,0.012288319085272885,0.802
1011787,0.012610470367801583,0.802
1011788,0.006296640651027715,0.4
1011789,0.02192614565975725,1.37
1011790,0.02398056759992379,1.37
1011791,0.004729537935361651,0.278
1011792,0.005112265083220125,0.278
1011793,0.007051605094031325,0.402
1011794,0.023716676976595324,0.638
1011795,0.0274880306941244,0.632
1011796,0.024446403843112374,0.503
1011797,0.009338758651195562,0.485
1011798,0.011846263569907858,0.5329999999999999
1011799,0.018422190979909284,0.418
1011800,0.017232494045812632,0.589
1011801,0.0358697679655665,0.589
1011802,0.026057505499589285,0.531
1011803,0.0245708528760357,0.4320000000000001
1011804,0.009596024395921728,0.358
1011805,0.01983122844510597,0.358
1011806,0.0021192836830301034,0.099
1011807,0.01634374711629775,0.491
1011808,0.02004246992614479,0.505
1011809,0.016711317224892476,0.527
1011810,0.017757105315397387,0.5760000000000001
1011811,0.013184617471794592,0.627
1011812,0.014693377280506396,0.474
1011813,0.014663607295471795,0.55
1011814,0.01965538269442623,0.55
1011815,0.012359778023685927,0.486
1011816,0.024498420062236032,0.5
1011817,0.011327385419333934,0.64
1011818,0.0192798052043347,0.638
1011819,0.013806314189696689,0.556
1011820,0.0174147305283327,0.556
1011821,0.016978589370077006,0.589
1011822,0.019029555412506834,0.58
1011823,0.017119424871612096,0.556
1011824,0.017551720154056025,0.556
1011825,0.018096102452250094,0.69
1011826,0.014784135276625204,0.5920000000000001
1011827,0.02740051409463801,1.345
1011828,0.025151046445042853,0.621
1011829,0.007763167435696338,0.305
1011830,0.03602449401439868,0.575
1011831,0.03437858150572111,0.5920000000000001
1011832,0.020065720565454956,0.581
1011833,0.0004586207233485091,0.043
1011834,0.001428121437219948,0.043
1011835,0.017802208332391378,0.639
1011836,0.011775297115649296,0.64
1011837,0.012337122510906772,0.522
1011838,0.014929787170536842,0.58
1011839,0.012210624462954496,0.634
1011840,0.012468253854516173,0.475
1011841,0.009132122341438753,0.388
1011842,0.016382237226641942,0.838
1011843,0.008962524031658732,0.838
1011844,0.00412832252532252,0.386
1011845,0.0007531647291908251,0.032
1011846,0.011331771106284937,0.546
1011847,0.019220135650213258,0.621
1011848,0.011043271528962412,0.155
1011849,0.009026678809543425,0.155
1011850,0.009251817663477983,0.428
1011851,0.010909519350650217,0.303
1011852,0.015026784434367415,0.4370000000000001
1011853,0.010447792517672685,0.4370000000000001
1011854,0.015178740361869447,0.637
1011855,0.021875521763994862,0.637
1011856,0.03133724835409052,0.591
1011857,0.02144656772706305,0.591
1011858,0.012748630312523684,0.636
1011859,0.014610199257708338,0.636
1011860,0.01092617252550009,0.4370000000000001
1011861,0.021397030693073547,0.4370000000000001
1011862,0.01490837581032066,0.5770000000000001
1011863,0.011525708143122676,0.529
1011864,0.01555267881990455,0.436
1011865,0.010401692724163851,0.436
1011866,0.018103470380447656,0.443
1011867,0.019485547457656256,0.443
1011868,0.024568356000759434,0.426
1011869,0.024927582431690826,0.426
1011932,0.012870652374987229,0.284
1011933,0.009765579027584957,0.41
1011934,0.012591493151059518,0.354
