start,end,총시간,총거리,유출인구,정류장수,평균버스,평균승용차,평균트럭,평균교통량,버스비율,승용차비율,트럭비율,1인가구수,면적당지하철,광역버스,출근급행,총광역급행,광역비율,급행비율,남경제,남비경제,여경제,여비경제,평균속도
1084803,1095737,0.669121273,31.943,11952,1132,1949,78559,20643,101151,0.019268223,0.77665075,0.204081027,16366,0,0,0,0,0,0,0.390051084,0.136075326,0.262977846,0.210895744,47.73873032
1084803,1095725,0.761201545,35.277,11952,1132,1323.5,63509,20062,84894.5,0.015589938,0.748093222,0.23631684,16366,0,0,0,0,0,0,0.390051084,0.136075326,0.262977846,0.210895744,46.34383657
1084803,1095069,0.767255617,40.838,11952,1132,2028.5,91786,31743,125557.5,0.016155944,0.731027617,0.252816439,16366,0,0,0,0,0,0,0.390051084,0.136075326,0.262977846,0.210895744,53.22606846
1084821,1041268,0.884134128,54.453,4778,880,811,31145.5,5704.5,37661,0.021534213,0.826996097,0.15146969,7515,0.004742371,0,0,0,0,0,0.365615973,0.146589214,0.24308796,0.244706853,61.58907147
1084842,1095638,0.886384564,50.909,4778,880,610.5,28679,7655.5,36945,0.016524564,0.776262011,0.207213425,7515,0.004742371,0,0,0,0,0,0.365615973,0.146589214,0.24308796,0.244706853,57.43443881
1084895,1069918,0.826832672,55.995,17536,1268,1112.5,52168,10722,64002.5,0.017382134,0.81509316,0.167524706,18096,0,0,0,0,0,0,0.36493408,0.146999888,0.285979812,0.20208622,67.72228759
1084945,1038263,0.96267075,63.717,17536,1268,1228,54248,15837.5,71313.5,0.017219741,0.760697484,0.222082775,18096,0,0,0,0,0,0,0.36493408,0.146999888,0.285979812,0.20208622,66.18773864
1085023,1095578,0.958316824,70.981,54090,1782,4617,96814.5,26366,127797.5,0.036127467,0.757561768,0.206310765,47126,0.011001826,0,0,0,0,0,0.373951923,0.138768507,0.292737978,0.194541593,74.06840642
1085142,1095598,1.02674956,64.481,54090,1782,5718.5,81617.5,21677.5,109013.5,0.052456806,0.748691676,0.198851518,47126,0.011001826,0,0,0,0,0,0.373951923,0.138768507,0.292737978,0.194541593,62.80109825
1085163,1038572,1.291521234,58.381,54090,1782,1413.5,129688,13390,144491.5,0.009782582,0.897547607,0.092669811,47126,0.011001826,0,0,0,0,0,0.373951923,0.138768507,0.292737978,0.194541593,45.20328312
1085219,1070440,0.985303592,45.272,63773,384,523,80927.5,7639,89089.5,0.005870501,0.908384265,0.085745234,21737,0.09354537,1,0,1,1,0,0.369917449,0.14424555,0.302050687,0.183786314,45.94725967
1085219,1038864,1.004115931,53.435,63773,384,3759.5,110080.5,20998,134838,0.027881606,0.81639078,0.155727614,21737,0.09354537,1,0,1,1,0,0.369917449,0.14424555,0.302050687,0.183786314,53.21596675
1085222,1019938,1.347420537,65.915,54090,1782,7938.5,179835.5,34455,222229,0.03572216,0.809235068,0.155042771,47126,0.011001826,0,0,0,0,0,0.373951923,0.138768507,0.292737978,0.194541593,48.91939687
1085249,1038874,1.174533513,75.013,54090,1782,7082,161673.5,31783,200538.5,0.035314915,0.806196815,0.15848827,47126,0.011001826,0,0,0,0,0,0.373951923,0.138768507,0.292737978,0.194541593,63.8662066
1085327,1095597,1.321519542,71.107,54090,1782,788,92651,9628.5,103067.5,0.007645475,0.898935164,0.093419361,47126,0.011001826,0,0,0,0,0,0.373951923,0.138768507,0.292737978,0.194541593,53.80699849
