TPath,TPCnt,TLinkCnt,TPCnt_group,start,end,LinkID_x,시도명_x,시군구명_x,읍면동명_x,LinkID_y,시도명_y,시군구명_y,읍면동명_y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,총시간,총거리,평균시간,등급,LinkID,유출인구,정류장수,버스,승용차,전체
"1087858,1087845,1017896,1017892,1017990,1017925,1018245,1017907,1018185,1018198,1017910,1018232,1018187,1018071,1096154,1096155,1018070,1018128,1018127,1018071,1096154,1017986,1018057,1070489,1070479,1018078,0,1070479,1018079,1018254,1018081,1019014,1018854,1019516,1018840,1018880,1018877,1018884,1018696,1070811,0,1019790,1019792,1019795,1019781,1019756",11,46,10_50,1087858,1019756,1087858,경기도,과천시,중앙동,1019756,서울특별시,마포구,도화동,1087858,1087845,1017896,1017892,1017990,1017925,1018245,1017907,1018185,1018198,1017910,1018232,1018187,1018071,1096154,1096155,1018070,1018128,1018127,1018071,1096154,1017986,1018057,1070489,1070479,1018078,0,1070479,1018079,1018254,1018081,1019014,1018854,1019516,1018840,1018880,1018877,1018884,1018696,1070811,0,1019790,1019792,1019795,1019781,1019756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.786727222,23.534,29.91379902,1,1087858,24527,113,1939.5,81970,95338
"1101308,1041046,1095583,1040998,1038361,1038585,1038588,1038362,0,1095578",14,10,10_50,1101308,1095578,1101308,경기도,성남시수정구,복정동,1095578,서울특별시,강남구,세곡동,1101308,1041046,1095583,1040998,1038361,1038585,1038588,1038362,0,1095578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123058782,3.681,29.912534,1,1101308,56841.76891,1094,138,15277.5,17510.5
"1096066,1096068,1015273,0,1015308,1015315,1100569",81,7,50_100,1096066,1100569,1096066,경기도,부천시오정구,오정동,1100569,서울특별시,강서구,발산1동,1096066,1096068,1015273,0,1015308,1015315,1100569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17623038,5.271,29.9097125,1,1096066,226983,1162,56.5,5502.5,6639.5
"1096301,1087771,1096303,1087775,1096311,1087779,1014775,1087811,1087828,1014507,1087798,1087800,1014806,1014803,1014570,1014718,1018025,0,1018024,1018195,1018235,1017648,1014581,1096112,1014567,1014757,1096113,1019821,0,1018217,1070773,1070775,1017660,1017663",16,34,10_50,1096301,1017663,1096301,경기도,시흥시,대야동,1017663,서울특별시,구로구,구로5동,1096301,1087771,1096303,1087775,1096311,1087779,1014775,1087811,1087828,1014507,1087798,1087800,1014806,1014803,1014570,1014718,1018025,0,1018024,1018195,1018235,1017648,1014581,1096112,1014567,1014757,1096113,1019821,0,1018217,1070773,1070775,1017660,1017663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.459575254,13.745,29.90805071,1,1096301,89081,960,258,26639.5,31589
"1096068,1015273,0,1015308,1015315,1100569,0,1096083,1014861,1014837,1014832,1014830,1014833,1014835,1014865,1015327,1019064,1019225,1018394,1018395,1019335,1019612,1019333,1019331,1018660,1018658,1019330,1019336,1019341,1019175,1018653,1018654,1018656,1019736,1018819,1018822,1070823,1018747,1018815,1018816,1019703,1018784,1018785,1018715,1019790,1019792,1019795,1019781,1019756,1018586,1070001,1070007,1069996",12,53,10_50,1096068,1069996,1096068,경기도,부천시오정구,고강1동,1069996,서울특별시,마포구,도화동,1096068,1015273,0,1015308,1015315,1100569,0,1096083,1014861,1014837,1014832,1014830,1014833,1014835,1014865,1015327,1019064,1019225,1018394,1018395,1019335,1019612,1019333,1019331,1018660,1018658,1019330,1019336,1019341,1019175,1018653,1018654,1018656,1019736,1018819,1018822,1070823,1018747,1018815,1018816,1019703,1018784,1018785,1018715,1019790,1019792,1019795,1019781,1019756,1018586,1070001,1070007,1069996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.681793453,20.39,29.90641801,1,1096068,226983,1162,1397.5,83034,99257.5
"1094433,1019927,1019850,1019848,1019845,1019878,1069509,1069517,1069529,1019879,0,1019881,1019892,1070170,1019863,1019864,1018259,1069561,1069544,1018256,1019477,1019079,1019634,1019078,1096615,0,1018267,1019745,1018509,1018506,1019118,1018525,1018519,1018516,1018417,1018415,1018444,1018442,1018439,1018412,1018408,1018433,1018403,1018404",10,44,0_10,1094433,1018404,1094433,경기도,고양시덕양구,원신동,1018404,서울특별시,영등포구,양평2동,1094433,1019927,1019850,1019848,1019845,1019878,1069509,1069517,1069529,1019879,0,1019881,1019892,1070170,1019863,1019864,1018259,1069561,1069544,1018256,1019477,1019079,1019634,1019078,1096615,0,1018267,1019745,1018509,1018506,1019118,1018525,1018519,1018516,1018417,1018415,1018444,1018442,1018439,1018412,1018408,1018433,1018403,1018404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.559080612,16.716,29.89908725,1,1094433,106270.0408,1032,1008.5,67563,81826.5
"1096285,1014343,1014281,1014093,1014092,1014344,0,1014205,1014207,1014204,1014158,1017548,1017554,1017867,1018012,1018219,1018035,1067474,1018008,1018049,1017946,1017647,1018193,1017723,1070695,1017724,1017727,1017728,1017911,1017741,1098354,1101095,1017667,1017664",10,34,0_10,1096285,1017664,1096285,경기도,시흥시,목감동,1017664,서울특별시,구로구,구로4동,1096285,1014343,1014281,1014093,1014092,1014344,0,1014205,1014207,1014204,1014158,1017548,1017554,1017867,1018012,1018219,1018035,1067474,1018008,1018049,1017946,1017647,1018193,1017723,1070695,1017724,1017727,1017728,1017911,1017741,1098354,1101095,1017667,1017664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538443826,16.096,29.89355476,1,1096285,89081,960,542.5,49555,61431
"1089840,0,1089830,1073725,1013198,1013204,1013202,1012991,0,1012954,1012952,1013008,1013032,1013005,1094277,1071213,1012928,1089631,1014810,1015354,1015856,1015854,1014814,1014815,1015115,1015112,1015113,1015114,1015062,1015061,1015115,1015112,1014817,1014818,1014824,1014820,1014845,1014848,1014851,1015345,1015308,1015314,1014925,1014926,1070135,1091077,1014961,1014964,1014970,1014966,1096042,1070118,1015144,0,1070083,1015331,1015332,0,1070095",29,59,10_50,1089840,1070095,1089840,경기도,김포시,양촌읍,1070095,서울특별시,구로구,개봉1동,1089840,0,1089830,1073725,1013198,1013204,1013202,1012991,0,1012954,1012952,1013008,1013032,1013005,1094277,1071213,1012928,1089631,1014810,1015354,1015856,1015854,1014814,1014815,1015115,1015112,1015113,1015114,1015062,1015061,1015115,1015112,1014817,1014818,1014824,1014820,1014845,1014848,1014851,1015345,1015308,1015314,1014925,1014926,1070135,1091077,1014961,1014964,1014970,1014966,1096042,1070118,1015144,0,1070083,1015331,1015332,0,1070095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.575989048,17.215,29.88772106,1,1089840,76946,1086,988,83363,103995.5
"1089509,1044754,1044819,0,1044824,1089497,1044783,1044718,1044702,1095764,1044700,1068495,1068496,1095750,0,1044724,1044689,1044692,1044767,1044771,1044780,1044670,1040015,1069303,1069307,0,1069318,1069320,1097705,1069333,1069336,1069361,0,1069384",15,34,10_50,1089509,1069384,1089509,경기도,의정부시,자금동,1069384,서울특별시,강북구,삼각산동,1089509,1044754,1044819,0,1044824,1089497,1044783,1044718,1044702,1095764,1044700,1068495,1068496,1095750,0,1044724,1044689,1044692,1044767,1044771,1044780,1044670,1040015,1069303,1069307,0,1069318,1069320,1097705,1069333,1069336,1069361,0,1069384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70604451,21.101,29.8862178,1,1089509,116484,722,722,34059.5,42240.5
"1096066,1096068,1015273,0,1015308,1015315,1100569,0,1070140",25,9,10_50,1096066,1070140,1096066,경기도,부천시오정구,오정동,1070140,서울특별시,강서구,우장산동,1096066,1096068,1015273,0,1015308,1015315,1100569,0,1070140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204282791,6.104,29.88014786,1,1096066,226983,1162,57.5,5634.5,6802
