조달청_업종코드정보,1260,92,조달청,중점데이터,https://www.data.go.kr/dataset/3036698/openapi.do
공연전시정보조회서비스,1253,679,한국문화정보원,문화관광,https://www.data.go.kr/dataset/15000120/openapi.do
전력판매 총괄현황,1250,121,한국전력공사,공공행정,https://www.data.go.kr/dataset/3069444/openapi.do
항공기 운항정보,1208,705,한국공항공사,교통물류,https://www.data.go.kr/dataset/15000126/openapi.do
음식물쓰레기 배출정보,1186,136,한국환경공단,중점데이터,https://www.data.go.kr/dataset/3045421/openapi.do
상세정보조회서비스(SOAP),1171,156,국회 국회도서관,교육,https://www.data.go.kr/dataset/15000525/openapi.do
연안정보도,1170,29,해양수산부,농축수산,https://www.data.go.kr/dataset/3056337/openapi.do
건강보험심사평가원 질병별 병원평가 정보,1165,116,건강보험심사평가원,중점데이터,https://www.data.go.kr/dataset/3048126/openapi.do
공동주택관리비,1148,1506,국토교통부,국토관리,https://www.data.go.kr/dataset/3039714/openapi.do
발전기실시간운영정보,1134,245,한국전력거래소,산업고용,https://www.data.go.kr/dataset/3043723/openapi.do
부산시 시내버스 운행정보 서비스,1125,192,부산광역시,교통물류,https://www.data.go.kr/dataset/15001114/openapi.do
습득물정보 조회 서비스,1086,58,경찰청,재난안전,https://www.data.go.kr/dataset/15000443/openapi.do
조달청_계약정보,1086,191,조달청,중점데이터,https://www.data.go.kr/dataset/15000803/openapi.do
조달청_계약정보,1086,191,조달청,중점데이터,https://www.data.go.kr/dataset/15000803/openapi.do
실시간수도정보,1074,223,한국수자원공사,중점데이터,https://www.data.go.kr/dataset/3079063/openapi.do
한국감정원 아파트 실거래가격지수,1073,281,한국감정원,국토관리,https://www.data.go.kr/dataset/15003229/openapi.do
농업농촌종합정보(인테러뱅),1064,25,농촌진흥청,농축수산,https://www.data.go.kr/dataset/15002055/openapi.do
국악공연정보,1060,63,문화체육관광부 국립국악원,문화관광,https://www.data.go.kr/dataset/3062268/openapi.do
임대주택 단지정보,1058,114,한국토지주택공사,국토관리,https://www.data.go.kr/dataset/3036245/openapi.do
소방서위치조회서비스,1057,211,행정안전부,공공행정,https://www.data.go.kr/dataset/15000933/openapi.do
한국환경공단_대기오염통계 서비스,1040,829,한국환경공단,환경기상,https://www.data.go.kr/dataset/15000583/openapi.do
국악자료정보,1038,7,문화체육관광부 국립국악원,문화관광,https://www.data.go.kr/dataset/3062269/openapi.do
핸드폰 찾기 정보 조회 서비스,1028,54,경찰청,재난안전,https://www.data.go.kr/dataset/15000442/openapi.do
