통계청행정동코드,행자부행정동코드,시도명,시군구명,행정동명
H_SDNG_CD,H_DNG_CD,DO_NM,CT_NM,H_DNG_NM
1121082,11620745,서울,관악구,삼성동
1121083,11620765,서울,관악구,미성동
1122051,11650510,서울,서초구,서초1동
1122052,11650520,서울,서초구,서초2동
1122053,11650530,서울,서초구,서초3동
1122054,11650531,서울,서초구,서초4동
1122055,11650540,서울,서초구,잠원동
1122056,11650550,서울,서초구,반포본동
1122057,11650560,서울,서초구,반포1동
1122058,11650570,서울,서초구,반포2동
1122059,11650580,서울,서초구,반포3동
1122060,11650581,서울,서초구,반포4동
1122061,11650590,서울,서초구,방배본동
1122062,11650600,서울,서초구,방배1동
1122063,11650610,서울,서초구,방배2동
1122064,11650620,서울,서초구,방배3동
1122065,11650621,서울,서초구,방배4동
1122066,11650651,서울,서초구,양재1동
1122067,11650652,서울,서초구,양재2동
1122068,11650660,서울,서초구,내곡동
1123051,11680510,서울,강남구,신사동
1123052,11680521,서울,강남구,논현1동
1123053,11680531,서울,강남구,논현2동
1123058,11680580,서울,강남구,삼성1동
1123059,11680590,서울,강남구,삼성2동
1123060,11680600,서울,강남구,대치1동
1123063,11680630,서울,강남구,대치4동
1123064,11680640,서울,강남구,역삼1동
1123065,11680650,서울,강남구,역삼2동
1123066,11680655,서울,강남구,도곡1동
1123067,11680656,서울,강남구,도곡2동
1123068,11680660,서울,강남구,개포1동
1123071,11680690,서울,강남구,개포4동
1123072,11680720,서울,강남구,일원본동
1123073,11680730,서울,강남구,일원1동
1123074,11680740,서울,강남구,일원2동
1123075,11680750,서울,강남구,수서동
1123076,11680700,서울,강남구,세곡동
1123077,11680545,서울,강남구,압구정동
1123078,11680565,서울,강남구,청담동
1123079,11680610,서울,강남구,대치2동
1123080,11680670,서울,강남구,개포2동
1124051,11710510,서울,송파구,풍납1동
1124052,11710520,서울,송파구,풍납2동
1124053,11710531,서울,송파구,거여1동
1124054,11710532,서울,송파구,거여2동
1124055,11710540,서울,송파구,마천1동
1124056,11710550,서울,송파구,마천2동
1124057,11710561,서울,송파구,방이1동
1124058,11710562,서울,송파구,방이2동
1124059,11710566,서울,송파구,오륜동
1124060,11710570,서울,송파구,오금동
1124061,11710580,서울,송파구,송파1동
1124062,11710590,서울,송파구,송파2동
1124063,11710600,서울,송파구,석촌동
1124064,11710610,서울,송파구,삼전동
1124065,11710620,서울,송파구,가락본동
1124066,11710631,서울,송파구,가락1동
1124067,11710632,서울,송파구,가락2동
1124068,11710641,서울,송파구,문정1동
1124069,11710642,서울,송파구,문정2동
1124071,11710650,서울,송파구,잠실본동
1124075,11710690,서울,송파구,잠실4동
1124077,11710710,서울,송파구,잠실6동
1124078,11710720,서울,송파구,잠실7동
1124079,11710670,서울,송파구,잠실2동
1124080,11710680,서울,송파구,잠실3동
1124081,11710646,서울,송파구,장지동
1124082,11710647,서울,송파구,위례동
1125051,11740515,서울,강동구,강일동
1125052,11740520,서울,강동구,상일동
1125053,11740530,서울,강동구,명일1동
1125054,11740540,서울,강동구,명일2동
1125055,11740550,서울,강동구,고덕1동
