dong,news,inout,age,person_num,total_comp
남영동,8,0.307321105,3,37508,6636
남영동,9,0.317554613,3,37033,6842
남영동,15,0.313181341,3,37151,7060
남영동,19,0.344277955,3,36639,6965
남현동,2.173913043,0.288768739,4,4069,112011
남현동,1,0.236468607,4,4157,103320
남현동,1.347826087,0.289963787,4,3866,105636
남현동,1.52173913,0.285595106,4,3596,122217
남현동,13,0.295262884,0,28815,4937
남현동,16,0.285314685,0,28600,5027
남현동,10,0.284688318,0,28266,5847
남현동,19,0.40932966,0,27225,6003
내곡동,13,0.271500578,0,19046,4869
내곡동,16,0.265019533,0,18942,5137
내곡동,10,0.275710114,0,18835,4817
내곡동,19,0.310580205,0,18752,5077
내곡동,321,0.251224758,0,33476,21035
내곡동,486,0.24907399,0,33207,22037
내곡동,638,0.258529189,0,32975,21221
내곡동,610,0.280708746,0,32621,22234
노량진1동,321,0.320041381,0,31899,3613
노량진1동,486,0.309464353,0,32036,3604
노량진1동,638,0.314792714,0,31840,4005
노량진1동,610,0.334953941,0,31264,4010
노량진1동,321,0.328773565,0,23393,3535
노량진1동,486,0.341804375,0,23177,3917
노량진1동,638,0.345353735,0,23266,4149
노량진1동,610,0.370004783,2,22997,4791
노량진2동,321,0.289997237,0,28952,3931
노량진2동,486,0.290134591,0,28828,3666
노량진2동,638,0.275668319,0,28654,3942
노량진2동,610,0.305535029,0,28419,4472
노량진2동,321,0.218398066,0,45907,8977
노량진2동,486,0.214996392,0,45731,9703
노량진2동,638,0.211444491,0,45227,10219
노량진2동,610,0.228177093,0,44632,10422
녹번동,0,0.285250464,0,8624,1489
녹번동,2,0.28939464,0,8656,1388
녹번동,0,0.271117325,0,8583,1494
녹번동,6,0.345125414,0,8452,1510
녹번동,9,0.296323977,0,36126,5736
녹번동,1,0.296191237,0,36311,5870
녹번동,2,0.309329976,0,35745,5806
녹번동,19,0.304755697,0,35284,5495
논현1동,9,0.31564177,2,20311,5399
논현1동,1,0.335079828,2,20231,5333
논현1동,2,0.342168796,2,19882,4697
논현1동,19,0.379654255,4,19552,4548
