ID,1층,금액차이,Number of Records,X,Y,거래금액(만원),건축년도,계약년월,계약일,구 (국민은행시세정보!),구,단지명,도로명,동 (국민은행시세정보!),동,번지,변동액,본번,부번,국민은행시세,아파트,일반거래가,입력주소,전용면적 (국민은행시세정보!),전용면적,주택형,중간층,층,평형,하한가
2094,30600,-9500,1,308070,549195,89500,2010-01-01,201804,1~10,용산구,용산구,효창파크푸르지오,백범로,효창동,효창동,274,0,274,0,80000,효창파크푸르지오,78500, 용산구 효창동 효창파크푸르지오,59,59,77.01,31400,15,23,76500
2095,11100,1150,1,304292,558254,31100,1997-01-01,201804,1~10,은평구,은평구,한솔,갈현로23길,갈현동,갈현동,539,0,539,0,32250,한솔,30000, 은평구 갈현동 한솔,85,85,109.09,12000,1,33,27750
2096,11700,-500,1,303519,557281,34000,1998-01-01,201804,21~30,은평구,은평구,갈현현대,서오릉로21길,구산동,구산동,382,0,382,0,33500,갈현현대,31250, 은평구 구산동 갈현현대,85,85,105.78,12500,16,32,29250
2097,17000,1000,1,303609,556443,47000,2004-01-01,201804,1~10,은평구,은평구,경남아너스빌,갈현로11길,구산동,구산동,224,0,224,0,48000,경남아너스빌,45500, 은평구 구산동 경남아너스빌,123,123,145.45,18200,13,44,42500
2098,14200,350,1,303609,556443,38900,2004-01-01,201804,21~30,은평구,은평구,경남아너스빌,갈현로11길,구산동,구산동,224,0,224,0,39250,경남아너스빌,37750, 은평구 구산동 경남아너스빌,85,85,109.09,15100,8,33,35500
2099,14100,100,1,303609,556443,38900,2004-01-01,201804,21~30,은평구,은평구,경남아너스빌,갈현로11길,구산동,구산동,224,0,224,0,39000,경남아너스빌,37500, 은평구 구산동 경남아너스빌,85,85,105.78,15000,8,32,35250
2100,11200,2800,1,303726,557098,28450,1991-01-01,201804,21~30,은평구,은평구,동익파크(355-95),서오릉로21길,구산동,구산동,355-95,0,355,95,31250,동익파크(355-95),29500, 은평구 구산동 동익파크(355-95),85,85,115.7,11800,1,35,28000
2101,11200,2800,1,303726,557098,28450,1991-01-01,201804,21~30,은평구,은평구,동익파크(355-95),서오릉로21길,구산동,구산동,355-95,0,355,95,31250,동익파크(355-95),29250, 은평구 구산동 동익파크(355-95),85,85,105.78,11700,1,32,28000
2102,17600,-500,1,306449,555803,48000,2002-01-01,201804,1~10,은평구,은평구,녹번JR아파트,통일로,녹번동,녹번동,280-1,0,280,1,47500,녹번JR아파트,46500, 은평구 녹번동 녹번JR아파트,85,85,109.09,18600,18,33,44000
2103,13400,1000,1,306449,555803,37000,2002-01-01,201804,21~30,은평구,은평구,녹번JR아파트,통일로,녹번동,녹번동,280-1,0,280,1,38000,녹번JR아파트,36000, 은평구 녹번동 녹번JR아파트,60,60,82.64,14400,7,25,33500
2104,15900,-3700,1,306365,555751,47700,1993-01-01,201804,1~10,은평구,은평구,대림아파트(276),통일로,녹번동,녹번동,276,0,276,0,44000,대림아파트(276),42000, 은평구 녹번동 대림아파트(276),85,85,105.78,16800,10,32,39750
